a0,a1,a2,a3,a4,a5,a6,a7,a8
1510594378,83,36,83,52,83,36601,87,81
1510594677,83,36,83,21,83,36598,87,81
1510594978,83,50,83,11,83,36618,87,81
1510595278,83,60,83,18,83,36639,87,81
1510595577,83,46,83,15,83,36465,87,81
1510595877,83,75,83,13,83,36443,87,81
1510596177,83,64,83,27,83,36348,87,81
1510596477,83,53,83,47,83,36352,87,81
1510596777,83,89,83,16,83,36023,87,81
1510597077,83,78,83,18,83,36037,87,81
1510597377,83,55,83,33,83,35954,87,81
1510597677,83,49,83,34,83,36095,87,81
1510597977,83,33,83,84,83,36075,87,81
1510598278,83,61,83,29,83,36121,87,81
1510598577,83,57,83,19,83,36152,87,81
1510598877,83,83,83,7,83,36174,87,81
1510599177,83,68,83,9,83,36209,87,81
1510599477,83,91,83,27,83,36337,87,81
1510599777,83,104,83,20,83,36195,86,81
1510600077,83,53,83,34,83,36163,86,81
1510600377,83,54,83,30,83,35806,86,81
1510600677,83,55,83,36,83,35108,85,81
1510600977,83,55,83,36,83,34603,85,81
1510601277,83,37,83,32,83,33838,85,81
1510601579,83,82,83,27,83,33344,84,81
1510601877,83,93,83,56,83,32945,84,81
1510602177,83,79,83,53,83,32336,84,81
1510602477,83,87,83,22,83,32116,84,81
1510602777,83,71,83,25,83,31940,84,81
1510603078,83,96,83,26,83,31739,84,81
1510603377,84,24,84,65,84,31308,84,81
1510603677,83,73,83,46,83,30615,84,81
1510603977,83,61,83,22,83,30300,84,81
1510604277,83,62,83,83,83,30200,84,81
1510604577,83,0,83,0,83,30081,84,81
1510604877,83,59,83,38,83,29467,84,81
1510605177,83,36,83,10,83,29363,84,81
1510605477,83,47,83,57,83,29255,84,81
1510605777,83,28,83,23,83,29228,84,81
1510606077,83,49,83,40,83,29287,84,81
1510606377,82,21,82,25,82,29960,84,81
1510606677,82,61,82,46,82,30778,84,81
1510606977,81,63,81,34,81,31066,84,81
1510607277,81,24,81,33,81,31732,84,81
1510607578,82,28,82,47,82,31937,84,81
1510607878,81,34,81,37,81,32162,84,81
1510608177,82,39,82,27,82,32211,84,81
1510608605,81,23,82,37,81,32228,84,81
1510608777,81,31,81,49,81,32202,84,81
1510609077,82,48,82,17,82,32064,84,81
1510609377,82,21,82,60,82,32053,84,81
1510609677,82,18,82,46,82,32159,84,81
1510609977,82,17,82,79,82,32241,84,81
1510610278,82,53,82,39,82,30884,84,81
1510610577,82,58,82,16,82,30518,84,81
1510610877,82,49,82,9,82,30329,84,81
1510611177,82,45,82,9,82,30133,84,81
1510611479,82,36,82,26,82,30028,84,81
1510611777,82,50,82,77,82,29950,84,81
1510612077,82,57,82,20,82,30000,84,81
1510612377,82,69,82,14,82,29918,84,81
1510612677,82,15,82,44,82,29961,84,81
1510612977,82,63,82,36,82,29993,84,81
1510613277,82,70,82,33,82,29951,84,81
1510613578,81,59,82,25,82,29964,84,81
1510613877,81,89,81,41,81,30893,84,80
1510614177,81,36,81,59,81,31371,84,80
1510614477,81,50,81,123,81,31345,84,80
1510614777,81,51,81,30,81,31555,84,80
1510615077,81,15,81,43,81,31384,84,80
1510615377,81,25,81,33,81,31403,84,80
1510615677,81,48,81,31,81,31511,84,80
1510615977,81,31,81,20,81,31414,84,80
1510616278,81,84,81,32,81,31482,84,80
1510616578,81,36,81,46,81,31485,84,80
1510616877,81,53,81,28,81,31485,84,80
1510617177,81,45,81,26,81,31310,84,80
1510617477,81,74,81,29,81,31191,84,80
1510617777,81,88,81,17,81,31186,84,80
1510618077,82,23,82,17,82,31032,84,80
1510618377,81,32,81,32,81,31039,84,80
1510618677,81,24,81,63,81,31059,84,80
1510618977,81,36,81,35,81,31023,84,80
1510619277,81,35,81,80,81,30992,84,80
1510619577,81,195,81,45,81,31035,84,80
1510619877,81,261,81,46,81,30951,84,80
1510620177,81,230,81,51,81,30937,84,80
1510620477,81,167,81,65,81,30917,84,80
1510620777,81,126,81,31,81,30985,84,80
1510621078,82,74,82,32,82,31303,84,80
1510621377,82,40,82,130,82,30826,84,80
1510621677,82,105,82,34,82,30846,84,80
1510621977,82,68,82,21,82,30873,84,80
1510622277,82,41,82,25,82,30836,84,80
1510622577,82,35,82,38,82,30791,84,80
1510623004,82,50,82,38,82,30812,84,80
1510623177,82,63,82,28,82,30815,84,80
1510623478,82,39,82,45,82,30787,84,80
1510623777,82,74,82,40,82,30792,84,80
1510624077,82,47,82,86,82,30912,84,80
1510624377,82,68,82,39,82,30894,84,80
1510624677,82,28,82,49,82,30835,84,80
1510624977,82,32,82,63,82,30738,84,80
1510625277,82,33,82,56,82,30767,84,80
1510625577,82,25,82,47,82,30800,84,80
1510625878,82,71,82,18,82,30785,84,80
1510626177,82,46,82,22,82,30762,84,80
1510626477,82,39,82,15,82,30671,84,80
1510626777,82,52,82,16,82,30612,84,80
1510627077,82,45,82,68,82,30598,84,80
1510627377,82,67,82,56,82,30726,84,80
1510627677,82,47,82,38,82,30731,84,80
1510627977,82,35,82,99,82,30758,84,80
1510628277,82,26,82,78,82,30776,84,80
1510628577,82,53,82,74,82,30758,84,80
1510628877,82,119,82,80,82,30743,84,80
1510629177,82,38,82,87,82,30728,84,80
1510629477,82,31,82,48,82,30730,84,80
1510629777,82,62,82,57,82,30732,84,80
1510630077,82,43,82,57,82,30524,84,80
1510630377,82,51,82,75,82,30409,84,80
1510630677,82,27,82,31,82,30505,84,80
1510630978,82,37,82,32,82,30468,84,80
1510631277,82,41,82,34,82,30427,84,80
1510631577,82,19,82,30,82,30426,84,80
1510631877,82,33,82,32,82,30439,84,80
1510632178,82,21,82,90,82,30493,84,80
1510632477,82,22,82,84,82,30552,84,80
1510632777,82,61,82,57,82,30574,84,80
1510633077,82,61,82,41,82,30552,84,80
1510633377,82,9,82,31,82,30517,84,80
1510633679,82,79,82,21,82,30541,84,80
1510633977,82,79,82,18,82,30547,84,80
1510634277,82,67,82,34,82,30591,84,80
1510634578,82,60,82,33,82,30571,84,80
1510634877,82,52,82,107,82,30607,84,80
1510635177,82,67,82,110,82,30384,84,80
1510635477,82,57,82,96,82,30215,84,80
1510635777,82,60,82,120,82,30103,84,80
1510636077,81,190,81,111,81,30092,84,80
1510636377,82,133,82,25,82,30065,84,80
1510636677,82,133,82,43,82,29834,84,80
1510636978,81,170,81,62,81,29016,84,80
1510637278,81,17,81,32,81,29214,84,80
1510637578,81,43,81,32,81,29220,84,80
1510637877,81,63,81,19,81,29232,84,80
1510638177,81,27,81,76,81,29253,84,80
1510638477,81,23,81,18,81,29263,84,80
1510638777,81,63,81,49,81,29288,84,80
1510639077,81,29,81,26,81,29333,84,80
1510639377,81,27,81,23,81,29323,84,80
1510639677,81,61,82,36,82,29146,84,80
1510639978,82,95,82,46,82,28798,84,80
1510640277,81,33,81,55,81,28789,84,80
1510640577,81,16,81,70,81,28786,84,80
1510640877,81,22,81,69,81,28641,84,80
1510641178,81,94,81,35,81,28672,84,80
1510641477,81,96,81,29,81,28648,84,80
1510641777,81,102,81,43,81,28623,84,80
1510642077,81,108,81,22,81,28662,84,80
1510642377,81,123,81,42,81,28682,84,80
1510642677,81,55,81,19,81,28860,84,80
1510642978,81,63,81,19,81,28940,84,80
1510643277,81,85,81,49,81,29195,84,80
1510643577,81,61,81,65,81,29136,84,80
1510643877,81,17,81,34,81,29155,84,80
1510644177,80,29,80,63,80,29624,84,80
1510644478,80,77,80,49,80,30097,84,80
1510644777,80,20,80,62,80,30345,84,80
1510645077,80,102,80,68,80,31120,84,80
1510645377,80,62,80,86,80,31650,84,80
1510645677,80,74,80,23,80,31875,84,80
1510645977,80,99,80,21,80,31923,84,80
1510646278,80,26,80,17,80,31899,84,80
1510646577,80,86,80,18,80,32029,84,80
1510646878,80,78,80,17,80,32142,84,80
1510647177,80,121,80,36,80,32150,84,80
1510647477,81,74,81,27,81,32147,84,80
1510647778,80,72,80,16,80,32340,84,80
1510648077,80,64,80,70,80,32174,84,80
1510648377,80,55,80,35,80,32305,84,80
1510648677,81,0,81,0,81,32288,84,80
1510648978,80,28,80,23,80,32444,84,80
1510649277,80,39,80,54,80,32500,84,80
1510649577,80,37,80,52,80,32510,84,80
1510649878,80,43,80,174,80,33462,84,80
1510650177,80,181,80,71,80,34831,84,79
1510650477,79,66,79,46,79,35241,84,79
1510650777,79,53,79,36,79,35402,84,79
1510651077,79,35,79,65,79,35890,84,79
1510651377,78,77,78,62,78,36370,84,78
1510651678,78,108,78,21,78,36519,84,78
1510651978,78,36,78,58,78,37835,84,78
1510652277,79,44,79,47,79,39046,84,78
1510652577,79,29,79,65,79,39073,84,78
1510652878,78,21,78,51,78,38922,84,78
1510653177,78,31,79,65,78,39173,84,78
1510653477,78,56,78,51,78,39319,84,78
1510653777,78,102,78,46,78,39417,84,78
1510654078,78,56,78,38,78,39664,84,78
1510654377,78,30,78,19,78,40074,84,78
1510654677,78,48,78,28,78,40282,84,78
1510654977,78,61,78,28,78,40593,84,78
1510655277,78,44,78,33,78,40661,84,78
1510655577,79,29,79,69,79,41079,84,78
1510655877,79,72,79,46,79,41156,84,78
1510656177,79,64,79,25,79,40834,84,78
1510656477,79,30,79,74,79,41011,84,78
1510656777,78,57,78,26,78,41316,84,78
1510657077,79,104,79,83,79,41476,84,78
1510657377,79,97,79,52,79,41683,84,78
1510657677,79,57,79,42,79,41662,84,78
1510657978,78,35,78,39,78,41679,84,78
1510658277,78,360,78,22,78,41725,84,78
1510658578,79,67,79,55,79,41775,84,78
1510658877,79,63,79,28,79,41819,84,78
1510659177,79,293,79,26,79,41844,84,78
1510659477,79,69,79,23,79,41856,84,78
1510659777,79,49,79,21,79,42066,84,78
1510660077,79,29,79,67,79,41977,84,78
1510660377,79,80,79,6,79,41853,84,78
1510660677,79,35,79,53,79,41680,84,78
1510660977,78,70,78,41,78,42357,84,78
1510661277,78,36,78,76,78,42758,84,78
1510661577,78,28,78,54,78,43077,84,78
1510661877,78,31,78,23,78,43212,84,78
1510662177,78,156,78,41,78,43341,84,78
1510662477,78,43,78,31,78,43368,84,78
1510662778,78,47,78,18,78,43367,84,78
1510663077,78,41,78,48,78,43334,84,78
1510663377,78,25,78,52,78,43549,84,78
1510663677,78,40,78,39,78,43592,84,78
1510663977,78,50,78,34,78,43590,84,78
1510664277,78,22,78,98,78,44096,84,78
1510664577,78,46,78,70,78,44067,84,78
1510664877,79,35,79,29,79,44130,84,78
1510665177,78,32,78,43,78,44045,84,78
1510665477,78,34,78,55,78,43761,84,78
1510665777,78,88,78,34,78,43699,84,78
1510666077,78,42,78,13,78,43662,84,78
1510666377,78,67,78,35,78,43690,84,78
1510666677,78,63,78,40,78,43659,84,78
1510666977,78,69,78,26,78,43565,84,78
1510667277,78,51,78,22,78,43513,84,78
1510667577,78,101,78,72,78,43553,84,78
1510667877,78,24,78,72,78,43639,84,78
1510668177,78,103,78,67,78,43606,84,78
1510668477,78,148,78,45,78,43558,84,78
1510668777,78,59,78,19,78,43549,84,78
1510669077,78,110,78,21,78,43519,84,78
1510669377,78,59,78,8,78,43512,84,78
1510669677,78,11,78,91,78,43684,84,78
1510669978,78,21,78,49,78,43790,84,78
1510670277,78,190,78,131,78,43851,84,78
1510670577,78,167,78,46,78,43870,84,78
1510670877,78,68,78,66,78,43992,84,78
1510671177,78,54,78,53,78,43936,84,78
1510671477,78,50,78,43,78,43870,84,78
1510671777,78,40,78,31,78,43882,84,78
1510672077,78,91,78,37,78,43894,84,78
1510672377,77,121,77,17,77,46277,84,77
1510672677,77,57,77,57,77,47102,84,77
1510672977,76,51,76,47,76,48039,84,76
1510673277,76,70,76,25,76,48443,84,76
1510673577,77,91,77,86,77,49589,84,76
1510673877,77,43,77,20,77,49860,84,76
1510674177,77,81,77,27,77,50252,84,76
1510674478,77,57,77,45,77,50339,84,76
1510674777,77,130,77,38,77,50519,84,76
1510675077,77,84,77,25,77,50577,84,76
1510675377,77,21,77,87,77,50693,84,76
1510675677,77,41,77,58,77,50614,84,76
1510675977,77,78,77,47,77,50500,84,76
1510676277,77,36,77,84,77,50568,84,76
1510676577,76,106,76,13,76,50433,84,76
1510676878,76,113,76,52,76,50741,84,76
1510677177,76,96,76,12,76,50848,84,76
1510677478,76,115,76,22,76,50903,84,76
1510677777,77,127,77,27,77,50755,84,76
1510678077,77,132,77,21,77,50775,84,76
1510678378,77,137,77,30,77,50760,84,76
1510678678,77,116,77,69,77,50748,84,76
1510678978,76,124,76,12,76,50987,84,76
1510679277,76,102,76,12,76,51119,84,76
1510679578,77,80,77,37,77,51329,84,76
1510679877,77,54,77,48,77,51219,84,76
1510680178,77,85,77,37,77,51254,84,76
1510680477,77,71,77,96,77,51279,84,76
1510680777,77,50,77,41,77,51298,84,76
1510681077,77,68,77,52,77,51408,84,76
1510681378,77,90,77,69,77,51519,84,76
1510681677,77,27,77,90,77,51718,84,76
1510681977,77,72,77,84,77,51923,84,76
1510725568,0,-1,0,-1,0,-1,0,0
1510725600,77,63,77,68,77,69525,82,75
1510725910,77,21,77,68,77,69551,82,75
1510726209,76,21,76,72,76,69981,82,75
1510726509,76,48,76,25,76,70025,81,75
1510726810,77,66,77,143,77,70081,81,75
1510727109,77,42,77,73,77,70299,81,75
1510727410,77,17,77,37,77,70636,81,75
1510727711,77,53,77,25,77,70669,81,75
1510728009,77,54,77,42,77,70722,81,75
1510728309,77,34,77,85,77,70793,81,75
1510728610,78,41,78,17,78,70889,81,75
1510728909,77,0,77,0,77,70844,81,75
1510729210,77,62,77,40,77,70912,81,75
1510729509,77,84,77,23,77,70937,81,75
1510729809,77,55,77,27,77,70675,81,75
1510730109,77,82,77,18,77,70580,81,75
1510730409,77,60,77,13,77,70640,81,75
1510730709,77,51,77,20,77,69854,81,75
1510731009,77,40,77,73,77,69490,81,75
1510731309,77,65,77,16,77,68923,81,75
1510731609,77,96,77,22,77,68621,81,75
1510731909,76,69,76,24,76,68289,81,75
1510732210,76,93,77,40,76,68215,81,75
1510732509,77,38,77,27,76,68170,81,75
1510732809,77,88,77,17,77,68006,81,75
1510733109,77,50,77,18,77,67940,81,75
1510733409,77,48,77,31,77,67881,81,75
1510733709,77,34,77,39,77,67851,81,75
1510734009,77,61,77,44,77,67716,81,75
1510734309,77,90,77,7,77,67654,81,75
1510734609,77,43,77,39,77,67638,81,75
1510734909,77,32,77,64,77,67490,81,75
1510735209,77,61,77,30,77,67413,80,75
1510735509,77,69,77,41,77,67273,80,75
1510735809,77,80,77,30,77,67164,80,75
1510736109,77,57,77,21,77,67100,80,75
1510736409,77,55,77,97,77,66234,80,75
1510736709,77,31,77,83,77,65515,80,75
1510737010,77,31,77,87,77,65460,80,75
1510737309,77,41,77,148,77,65449,80,75
1510737610,77,56,77,39,77,64567,80,75
1510737909,77,32,77,126,77,63852,80,75
1510738210,77,40,77,54,77,63093,80,75
1510738509,76,28,76,76,76,61642,80,75
1510738809,77,19,77,93,77,61473,80,75
1510739109,77,29,77,128,77,61285,80,75
1510739409,77,33,77,88,77,61185,80,75
1510739709,77,23,77,84,77,60959,80,75
1510740009,77,14,77,75,77,60768,80,75
1510740309,76,46,76,66,76,60720,80,75
1510740609,77,36,77,68,77,60518,80,75
1510740909,77,41,77,69,77,60096,80,75
1510741209,77,31,77,56,77,59913,80,75
1510741509,77,52,77,72,77,59776,80,75
1510741809,77,90,77,35,77,59660,80,75
1510742109,77,158,77,41,77,59394,80,75
1510742410,77,46,77,56,77,59432,80,75
1510742709,77,125,77,93,77,59215,80,75
1510743009,77,35,77,35,77,59332,80,75
1510743309,77,47,77,27,77,59162,80,75
1510743609,77,38,77,65,77,59014,80,75
1510743909,77,68,77,39,77,58845,80,75
1510744209,77,64,77,85,77,58885,80,75
1510744510,77,24,77,107,77,58876,80,75
1510744809,77,28,77,67,77,58918,80,75
1510745109,77,20,77,85,77,58845,80,75
1510745409,77,54,77,57,77,58835,80,75
1510745711,77,37,77,51,77,58834,80,75
1510746010,77,77,77,64,77,58713,80,75
1510746309,77,28,77,81,77,59139,80,75
1510746609,77,19,77,77,77,59133,80,75
1510746910,78,113,78,46,78,59582,80,75
1510747209,78,28,78,40,78,59697,80,75
1510747509,78,41,78,21,78,59556,80,75
1510747809,78,43,78,36,78,59548,80,75
1510748109,78,66,78,50,78,59391,80,75
1510748409,78,62,78,57,78,59525,80,75
1510748709,78,23,78,82,78,59551,80,75
1510749009,78,42,78,67,78,59629,80,75
1510749309,78,39,78,57,78,59715,80,75
1510749609,78,22,78,42,78,59230,80,75
1510749910,78,70,78,39,78,59099,80,75
1510750209,78,34,78,50,78,59038,80,75
1510750509,78,25,78,109,78,58836,80,75
1510750810,78,26,78,62,78,58510,80,75
1510751109,78,64,78,54,78,58484,80,75
1510751409,78,31,78,123,78,58698,80,75
1510751709,78,61,78,87,78,59032,80,75
1510752009,78,23,78,114,78,59149,80,75
1510752309,78,29,78,65,78,59823,80,75
1510752609,78,51,78,27,78,60206,80,75
1510752909,78,24,78,52,78,60349,80,75
1510753209,78,10,78,93,78,60357,80,75
1510753509,78,18,78,67,78,60355,80,75
1510753809,78,32,78,45,78,60363,80,75
1510754109,78,27,78,73,78,60313,80,75
1510754409,78,12,78,53,78,60293,80,75
1510754709,78,44,78,136,78,60289,80,75
1510755009,78,69,78,80,78,60379,80,75
1510755309,78,37,78,39,78,60474,80,75
1510755609,78,71,78,44,78,60478,80,75
1510755910,78,36,78,63,78,60509,80,75
1510756209,78,63,78,29,78,60375,80,75
1510756509,78,105,78,22,78,60311,80,75
1510756809,78,54,78,25,78,60403,80,75
1510757110,78,33,78,29,78,60383,80,75
1510757410,78,30,78,24,78,60177,80,75
1510757710,78,70,78,46,78,60200,80,75
1510758009,78,41,78,46,78,60298,80,75
1510758309,78,64,78,58,78,60288,80,75
1510758609,78,39,78,31,78,59305,80,75
1510758909,78,20,78,32,78,57588,80,75
1510759209,78,39,78,34,78,57481,80,75
1510759510,78,77,78,41,78,56633,80,75
1510759810,78,30,78,14,78,56030,80,75
1510760109,77,32,77,90,77,55687,80,75
1510760409,77,35,77,49,77,55944,80,75
1510760710,77,30,77,16,77,55861,80,75
1510761009,77,38,77,25,77,55691,80,75
1510761309,77,43,77,86,77,55949,80,75
1510761609,76,16,76,95,76,55783,80,75
1510761909,77,23,77,76,77,55580,80,75
1510762209,76,27,76,86,76,55512,80,75
1510762510,77,23,77,83,77,55542,80,75
1510762809,77,7,77,79,77,55557,80,75
1510763109,77,49,77,84,77,55424,80,75
1510763409,77,16,77,68,77,55135,80,75
1510763709,76,50,76,22,76,55137,80,75
1510764009,76,40,76,95,76,55257,80,75
1510764309,76,64,76,17,76,55354,80,75
1510764610,76,72,76,10,76,55424,80,75
1510764909,76,74,76,29,76,55487,80,75
1510765209,76,66,76,51,76,55405,80,75
1510765509,76,19,76,88,76,55182,80,75
1510765810,76,36,76,82,76,55016,80,75
1510766109,76,24,76,67,76,54739,80,75
1510766410,76,34,76,60,76,54672,80,75
1510766709,76,27,76,48,76,54712,80,75
1510767009,76,16,76,52,76,54635,80,75
1510767309,76,34,76,76,76,54399,80,75
1510767609,76,38,76,30,76,54454,80,75
1510767909,76,29,76,53,76,54355,80,75
1510768211,76,42,76,81,76,54384,80,75
1510768509,76,57,76,72,76,54321,80,75
1510768809,76,29,76,41,76,54377,80,75
1510769109,77,47,77,27,77,54513,80,75
1510769409,76,36,76,33,76,54511,80,75
1510769709,76,55,76,37,76,54506,80,75
1510770010,76,47,76,61,76,54445,80,75
1510770309,76,36,76,86,76,54312,80,75
1510770609,76,58,76,72,76,54302,80,75
1510770909,77,71,77,33,77,54308,80,75
1510771209,77,37,77,67,77,54446,80,75
1510771509,77,40,77,38,77,54166,80,75
1510771809,77,64,77,22,77,54363,80,75
1510772109,78,70,78,18,78,54794,80,75
1510772411,77,82,77,49,77,54896,80,75
1510772709,77,91,77,66,77,54940,80,75
1510773011,77,45,77,88,77,54975,80,75
1510773309,78,84,78,36,78,54745,80,75
1510773609,77,62,77,39,77,54752,80,75
1510773910,77,69,77,38,77,54790,80,75
1510774210,77,90,77,32,77,54709,80,75
1510774509,77,62,77,46,77,54643,80,75
1510774811,77,103,77,50,77,54660,80,75
1510775109,77,87,77,33,77,54654,80,75
1510775409,78,93,78,31,78,54641,80,75
1510775709,77,24,77,45,77,54653,80,75
1510776010,77,27,77,37,77,54581,80,75
1510776309,77,29,77,91,77,54481,80,75
1510776609,77,83,77,48,77,53177,80,75
1510776909,77,65,77,44,77,51783,80,75
1510777209,77,57,77,57,77,51091,80,75
1510777510,77,44,77,37,77,50171,80,75
1510777809,77,67,77,45,77,49757,80,75
1510778110,77,40,77,63,77,49607,80,75
1510778409,77,24,77,91,77,49406,80,75
1510778709,77,32,77,30,77,49267,80,75
1510779010,77,68,77,27,77,49139,80,75
1510779309,77,36,77,17,77,49028,80,75
1510779609,77,83,77,27,77,49239,80,75
1510779909,77,36,77,58,77,49199,80,75
1510780209,77,42,77,33,77,49195,80,75
1510780509,77,66,77,31,77,49229,80,75
1510780809,76,59,76,29,76,49473,80,75
1510781109,77,43,77,44,77,49064,80,75
1510781410,77,55,77,25,77,48846,79,75
1510781710,76,47,76,40,76,48980,79,75
1510782010,76,65,76,47,76,49097,79,75
1510782309,75,10,75,64,75,49690,79,75
1510782609,75,31,75,128,75,50015,79,75
1510782909,75,28,75,40,75,50367,79,75
1510783210,75,45,75,35,75,50399,79,75
1510783509,75,37,75,78,75,50465,79,75
1510783809,75,45,75,40,75,50187,79,75
1510784109,75,26,75,114,75,49998,79,75
1510784409,75,59,75,112,75,49774,79,75
1510784709,75,56,75,167,75,50912,79,75
1510785009,75,83,75,144,75,51256,79,75
1510785309,75,69,75,132,75,51401,79,75
1510785610,75,35,75,92,75,51910,79,75
1510785911,75,51,75,42,75,52110,79,75
1510786209,75,51,75,47,75,52108,79,75
1510786510,75,40,75,51,75,52110,79,75
1510786809,75,114,75,46,75,52133,79,75
1510787109,75,43,75,53,75,52197,79,75
1510787409,76,40,76,108,76,52392,79,75
1510787709,75,58,75,30,75,52701,79,75
1510788009,76,36,76,55,76,52760,79,75
1510788309,76,52,76,80,76,52709,79,75
1510788609,75,30,75,71,75,52826,79,75
1510788909,75,92,75,62,75,52965,79,75
