b0,b1,b2,b3,b4,b5,b6,b7,b8
1510644177,90,295,90,1865,90,85732,93,89
1510644478,90,345,90,1093,90,86400,93,89
1510644779,90,239,90,1064,90,86929,93,89
1510645078,89,486,89,1147,89,88249,93,89
1510645377,90,679,90,845,90,89222,93,89
1510645678,89,706,89,1211,89,89728,93,89
1510645977,89,527,89,628,89,89774,93,89
1510646278,89,510,89,1336,89,91049,93,89
1510646577,89,541,89,794,89,91491,93,89
1510646878,89,1015,89,1384,89,91674,93,89
1510647177,89,494,89,1646,89,91523,93,89
1510647477,89,529,89,1964,89,92266,93,89
1510647779,89,659,89,1865,89,92170,93,89
1510648077,89,908,89,1610,89,91892,93,89
1510648378,89,462,89,2101,89,92531,93,89
1510648677,89,912,89,1627,89,92738,93,89
1510648979,89,513,89,797,89,93263,93,89
1510649277,89,494,89,1581,89,93743,93,89
1510649577,89,445,89,1225,89,93739,93,89
1510649880,88,321,88,1003,88,96249,93,88
1510650177,88,1271,88,1407,88,105263,93,87
1510650478,87,1943,87,1229,87,108919,93,87
1510650778,87,1004,87,674,87,112486,93,87
1510651077,86,328,86,565,86,113950,93,86
1510651377,86,889,86,1354,86,119739,93,85
1510651678,86,872,86,1112,86,120300,93,85
1510651978,86,801,86,1205,86,121607,93,85
1510652278,86,818,86,1623,86,125543,93,85
1510652578,87,638,87,2289,87,127118,93,85
1510652878,86,688,86,1046,86,126249,93,85
1510653177,87,1487,87,1964,87,126688,93,85
1510653477,86,971,86,1131,86,129104,93,85
1510653778,85,769,85,1110,85,130620,93,85
1510654079,85,741,85,1163,85,132054,93,85
1510654377,85,991,85,1335,85,133799,93,85
1510654677,86,1303,86,1221,86,134524,93,85
1510654978,86,2488,86,1103,86,135826,93,85
1510655277,86,1433,86,1269,86,137873,93,85
1510655578,86,1876,86,1282,86,140086,93,85
1510655878,86,1359,86,943,86,139815,93,85
1510656177,87,1061,87,1248,87,138005,93,85
1510656478,87,1040,87,1082,87,137876,93,85
1510656777,86,1022,86,1051,86,138290,93,85
1510657077,86,1600,86,783,86,139314,93,85
1510657377,86,876,86,822,86,139782,93,85
1510657678,87,683,87,853,87,139590,93,85
1510657978,86,793,86,1144,86,139007,93,85
1510658278,86,621,86,728,86,139091,93,85
1510658579,86,772,87,841,86,139043,93,85
1510658877,87,1099,87,831,87,138737,93,85
1510659178,86,1430,86,1280,86,138697,93,85
1510659477,86,1545,87,926,86,138738,93,85
1510659777,87,1286,87,1333,87,139578,93,85
1510660077,87,622,87,1091,87,139396,93,85
1510660505,86,476,86,1908,86,139048,93,85
1510660678,86,611,86,1398,86,139090,93,85
1510660977,85,1215,85,3460,85,142904,93,85
1510661277,85,767,85,651,85,147430,93,85
1510661577,85,962,85,5839,85,147952,93,85
1510661878,85,1129,85,700,85,151592,93,84
1510662177,85,524,85,481,85,152547,93,84
1510662479,84,451,85,598,84,153708,93,84
1510662778,84,1155,84,4551,84,155245,93,84
1510663077,84,1386,84,548,84,161168,93,84
1510663377,84,622,84,1920,84,165446,93,83
1510663677,84,504,84,764,84,169729,93,83
1510663978,83,952,83,551,83,178849,93,83
1510664278,84,599,84,1113,84,184651,93,83
1510664577,84,733,84,856,84,185404,93,83
1510664878,84,634,84,386,84,186457,93,83
1510665177,84,537,84,266,84,186797,93,83
1510665478,84,419,84,517,84,186678,93,83
1510665777,83,677,83,343,83,187727,93,83
1510666077,83,359,83,428,83,188100,93,83
1510666377,84,453,84,339,84,188688,93,83
1510666678,84,545,84,503,84,188881,93,83
1510666977,83,588,83,502,83,189343,93,83
1510667277,83,557,83,573,83,194769,93,83
1510667577,83,485,84,273,83,195390,93,83
1510667878,84,569,84,496,84,195876,93,83
1510668178,83,468,83,730,83,195858,93,83
1510668478,83,699,83,452,83,194816,93,83
1510668780,83,591,83,621,83,194991,93,83
1510669077,83,478,83,380,83,194799,93,83
1510669377,84,453,84,404,84,194486,93,83
1510669677,84,1029,84,318,84,193674,93,83
1510669979,84,891,84,822,84,193752,93,83
1510670278,84,923,84,553,84,194298,93,83
1510670579,84,618,84,1265,84,194651,93,83
1510670877,84,407,84,1050,84,194757,93,83
1510671177,84,867,84,1119,84,194786,93,83
1510671477,84,404,84,1090,84,195023,93,83
1510671777,83,647,83,508,83,196672,93,83
1510672077,83,248,83,943,83,197701,93,83
1510672377,81,5268,81,1392,81,208548,93,81
1510672679,81,1906,81,3690,81,212498,93,81
1510672977,81,755,81,1222,81,215524,93,81
1510673277,81,972,82,1999,81,217505,93,81
1510673577,83,1341,83,1481,83,222048,93,81
1510673879,81,977,81,1090,81,222741,93,81
1510674177,82,702,82,419,82,223709,93,81
1510674479,81,2281,81,1065,81,224404,93,81
1510674778,82,625,82,995,82,224218,93,81
1510675077,82,329,82,879,82,223291,93,81
1510675377,82,911,82,1562,82,221003,93,81
1510675678,83,746,83,1537,83,233899,93,81
1510675977,83,710,83,876,83,234576,93,81
1510676277,82,665,82,717,82,236320,93,81
1510676577,82,1426,82,483,82,236088,93,81
1510676878,82,758,82,1217,82,236191,93,81
1510677177,82,720,82,723,82,236768,93,81
1510677479,82,837,82,475,82,236940,93,81
1510677777,82,826,82,98,82,237033,93,81
1510678079,82,721,82,591,82,236689,93,81
1510678379,82,791,82,664,82,236656,93,81
1510678678,82,575,82,802,82,237323,93,81
1510678978,81,1001,81,360,81,238238,93,81
1510679277,82,1371,82,132,82,238366,93,81
1510679578,83,1056,83,2712,83,239938,93,81
1510679878,82,673,82,958,82,239916,93,81
1510680178,82,976,82,1348,82,239925,93,81
1510680477,83,789,83,441,83,239887,93,81
1510680777,83,1319,83,618,83,239904,93,81
1510681078,83,1773,83,1342,83,240499,93,81
1510681378,83,1830,83,1277,83,240894,93,81
1510681677,82,878,82,1824,82,240980,93,81
1510681977,82,919,82,2305,82,244029,93,81
1510725601,80,1479,80,1259,80,355742,91,78
1510725911,80,1400,80,1369,80,355821,91,78
1510726210,80,1517,80,1058,80,357283,91,78
1510726510,80,462,80,1348,80,357849,91,78
1510726810,81,1276,81,1124,81,358220,91,78
1510727110,81,1331,81,1116,81,359215,91,78
1510727410,81,1867,81,774,81,359641,91,78
1510727712,81,408,81,701,81,359772,91,78
1510728009,81,730,81,460,81,359995,91,78
1510728310,81,806,81,1010,81,360266,91,78
1510728611,81,460,82,903,81,360719,91,78
1510728911,81,980,81,1509,81,360866,91,78
1510729210,81,1145,81,844,81,360887,91,78
1510729510,81,947,81,827,81,362316,91,78
1510729811,81,908,81,818,81,361815,91,78
1510730109,81,1359,81,1418,81,361868,91,78
1510730410,80,810,80,916,80,359651,90,78
1510730711,80,1133,80,1484,80,358848,90,78
1510731010,80,1609,80,790,80,358281,90,78
1510731310,80,768,80,1323,80,358294,90,78
1510731610,80,1584,80,2315,80,357448,90,78
1510731910,80,1265,80,1442,80,358332,90,78
1510732211,80,965,80,1841,80,358568,89,78
1510732511,80,1301,80,1200,80,358149,89,78
1510732809,80,1299,80,1437,80,357330,89,78
1510733110,80,911,80,1751,80,357201,89,78
1510733410,80,319,80,1795,80,357058,89,78
1510733710,81,474,81,2236,81,356996,89,78
1510734010,80,855,80,1562,80,356311,89,78
1510734311,81,375,81,2392,80,356365,89,78
1510734610,80,1214,80,1183,80,356572,89,78
1510734909,80,59,80,1571,80,355728,89,78
1510735210,80,288,80,1521,80,355947,89,78
1510735510,80,380,80,1346,80,355317,89,78
1510735810,80,352,80,1306,80,355091,89,78
1510736111,0,-1,0,-1,0,-1,0,0
1510736409,81,712,81,1371,81,349152,88,78
1510736710,81,187,81,896,81,346023,88,78
1510737010,80,467,80,1289,80,340153,87,78
1510737310,80,1238,80,1122,80,339610,87,78
1510737610,80,1028,80,1266,80,334227,87,78
1510737909,80,809,80,1483,80,330584,87,78
1510738212,80,890,80,1341,80,329566,87,78
1510738509,79,405,79,1106,79,330124,87,78
1510738810,80,893,80,1100,80,326833,87,78
1510739110,80,1178,80,468,80,325629,87,78
1510739410,80,1522,80,720,80,325467,87,78
1510739709,80,970,80,820,80,324467,87,78
1510740009,80,862,80,1247,80,322322,87,78
1510740310,79,713,79,1303,79,322516,87,78
1510740611,80,962,80,954,80,320439,87,78
1510740909,80,1068,80,1085,80,319840,87,78
1510741210,80,376,80,1066,80,318921,87,78
1510741510,79,1084,80,812,79,317469,87,78
1510741810,80,800,80,1571,80,316488,87,78
1510742110,80,1410,80,1208,80,315067,87,78
1510742411,80,1586,80,1349,80,315243,87,78
1510742710,80,1280,80,1430,80,314358,87,78
1510743010,80,900,80,900,80,314276,87,78
1510743310,79,534,79,993,79,314223,87,78
1510743611,80,1006,80,796,80,313814,87,78
1510743910,79,955,79,1716,79,313253,87,78
1510744210,80,358,80,1173,80,313466,87,78
1510744511,80,399,80,1696,80,313760,87,78
1510744810,80,1160,80,665,80,314452,87,78
1510745110,80,753,80,955,80,314404,87,78
1510745410,80,803,80,932,80,314383,87,78
1510745711,80,622,80,1078,80,314347,87,78
1510746011,80,773,80,1403,80,313810,87,78
1510746310,80,614,80,1565,80,316813,87,78
1510746610,81,680,81,1599,80,316860,87,78
1510746911,82,1872,82,1439,82,318033,86,78
1510747210,82,1042,82,1403,82,321662,86,78
1510747509,82,1305,82,832,82,319007,86,78
1510747810,82,1627,82,1349,82,314802,86,78
1510748110,82,1613,82,1353,82,311497,86,78
1510748409,81,1148,81,1091,81,311084,86,78
1510748709,82,276,82,481,82,309652,86,78
1510749010,82,1698,82,1297,82,309556,86,78
1510749309,81,858,81,1627,81,308209,86,78
1510749611,81,1275,81,1124,81,298210,86,78
1510749910,82,564,82,2048,82,295139,86,78
1510750210,82,972,82,1852,82,293381,86,78
1510750509,82,873,82,1408,82,283106,86,78
1510750810,82,1377,82,1346,82,278594,86,78
1510751109,82,842,82,2023,82,278063,86,78
1510751410,82,1296,82,1602,82,277484,86,78
1510751710,82,880,82,1523,82,277262,86,78
1510752010,82,989,83,1461,82,276591,86,78
1510752310,82,481,83,945,83,277771,86,78
1510752610,82,408,82,1086,82,278226,86,78
1510752911,82,702,82,958,82,278294,86,78
1510753209,82,405,82,986,82,278191,86,78
1510753510,82,661,82,813,82,272510,86,78
1510753810,82,263,82,504,82,272845,86,78
1510754110,81,245,82,672,82,272327,86,78
1510754409,81,715,81,742,81,272841,86,78
1510754710,82,301,82,296,82,272496,86,78
1510755009,82,332,82,775,82,272537,86,78
1510755311,82,658,82,622,82,272331,86,78
1510755610,82,323,82,426,82,272235,86,78
1510755911,82,463,82,767,82,272300,86,78
1510756210,82,312,82,992,82,272159,86,78
1510756510,82,299,82,730,82,271541,86,78
1510756810,82,212,82,377,82,271105,86,78
1510757111,82,329,82,357,82,271139,86,78
1510757411,82,246,82,726,82,270848,86,78
1510757710,82,289,82,561,82,270658,86,78
1510758010,82,249,82,1067,82,269620,86,78
1510758310,82,305,82,1191,82,269131,86,78
1510758610,82,359,82,1090,82,266616,86,78
1510758910,82,587,82,1780,82,254358,86,78
1510759210,81,843,81,366,81,252808,86,78
1510759511,81,826,81,793,81,249527,86,78
1510759811,81,899,81,323,81,245844,86,78
1510760110,80,679,80,1343,80,244533,86,78
1510760410,80,367,80,1027,80,244154,86,78
1510760711,80,440,80,438,80,244095,86,78
1510761010,80,360,80,471,80,243653,86,78
1510761310,80,362,80,1119,80,244331,86,78
1510761611,80,420,80,750,80,244434,86,78
1510761910,80,530,80,486,80,231631,86,78
1510762211,80,403,80,373,80,230225,86,78
1510762511,80,604,80,1261,80,228632,86,78
1510762810,80,657,80,805,80,227664,86,78
1510763110,80,376,80,698,80,228081,86,78
1510763410,80,838,80,659,80,227898,86,78
1510763710,79,709,79,662,79,228313,86,78
1510764010,79,757,79,678,79,230028,86,78
1510764311,79,360,79,852,79,236076,86,78
1510764610,79,2830,79,821,79,236953,86,78
1510764909,79,329,79,721,79,237717,86,78
1510765211,79,831,79,986,79,237174,86,78
1510765510,79,383,80,853,80,236571,86,78
1510765811,79,725,79,626,79,235380,86,78
1510766110,79,903,79,1296,79,234412,86,78
1510766411,79,443,79,486,79,233915,86,78
1510766710,79,429,79,931,79,233864,86,78
1510767010,79,306,79,1180,79,233567,86,78
1510767309,79,377,79,353,79,233239,86,78
1510767610,79,366,79,348,79,232544,86,78
1510767910,79,573,79,785,79,232410,86,78
1510768212,79,1570,79,451,79,231794,86,78
1510768509,79,421,79,1049,79,230111,86,78
1510768810,79,596,79,615,79,229277,86,78
1510769110,79,322,79,851,79,229785,86,78
1510769411,79,432,79,881,79,229481,86,78
1510769710,79,290,79,1112,79,229638,86,78
1510770010,79,342,79,874,79,229629,86,78
1510770310,79,879,79,747,79,228695,86,78
1510770610,79,765,79,885,79,228870,86,78
1510770910,79,648,79,1242,79,231069,86,78
1510771211,79,456,79,1291,79,231920,86,78
1510771510,79,317,79,1336,79,230384,86,78
1510771812,80,588,80,741,80,230935,86,78
1510772110,80,692,80,887,80,232204,86,78
1510772411,79,695,79,711,79,232102,86,78
1510772710,80,444,80,943,80,231856,86,78
1510773011,80,366,80,322,80,231904,86,78
1510773310,80,535,80,200,80,231198,86,78
1510773611,80,675,80,328,80,231392,86,78
1510773910,79,250,79,320,79,231762,86,78
1510774211,79,610,79,325,79,231984,86,78
1510774510,79,277,79,648,79,232031,86,78
1510774811,79,240,79,669,79,231939,86,78
1510775111,79,219,79,547,79,232101,86,78
1510775409,80,378,80,806,80,232364,86,78
1510775709,79,530,79,412,79,232579,86,78
1510776012,79,684,80,423,79,232547,86,78
1510776309,79,413,79,627,79,232651,86,78
1510776610,79,694,79,357,79,230807,86,78
1510776910,79,280,79,925,79,225307,86,78
1510777210,79,606,79,801,79,219868,86,78
1510777511,79,829,79,562,79,215064,86,78
1510777810,79,613,79,1906,79,213197,86,78
1510778110,79,707,79,1111,79,211622,86,78
1510778410,79,733,79,772,79,211288,86,78
1510778710,79,560,79,978,79,211107,86,78
1510779010,79,806,79,650,79,210620,86,78
1510779310,79,764,79,825,79,210856,86,78
1510779610,79,534,79,614,79,211379,86,78
1510779911,79,465,79,663,79,210923,86,78
1510780210,79,563,79,624,79,210927,86,78
1510780510,79,300,79,634,79,210912,86,78
1510780809,79,390,79,683,79,211523,86,78
1510781109,79,607,79,973,79,210466,86,78
1510781410,79,376,79,838,79,208549,86,78
1510781710,78,1083,78,420,79,208284,85,78
1510782011,78,603,78,367,78,211252,85,78
1510782310,77,1951,77,860,77,214269,85,77
1510782610,77,621,77,655,77,219059,85,77
1510782910,77,1087,77,486,77,220457,85,77
1510783210,77,534,77,2017,77,220736,85,77
1510783509,77,776,77,1848,77,221649,85,77
1510783810,77,639,77,1249,77,221777,85,77
